from_node,to_node,weight
245608377,12584612057,73.58057899098704
245608377,1775800856,866.8258634354255
245608377,2794990387,392.491096752029
245608377,12584612016,714.2780980923247
263014984,2407680059,73.08945207406505
263014984,12595115710,57.307869489550804
263014984,12595115726,80.58067708033147
313298664,2054883311,15.55157149739367
313298664,12590145997,1400.5864563605899
313448576,2057317299,78.23406043624561
313448576,12584612461,135.8198350465213
313448577,12584612473,34.869045943478234
313448577,12584612471,99.96970089150088
313448578,9586210625,6.874250429349956
1775800572,12584532290,147.95993214425127
1775800572,12584531936,168.62824899831878
1775800572,12584532292,183.24632423910032
1775800659,12584532269,429.78754467324904
1775800659,12584532289,458.736050929463
1775800659,12584531768,691.58743485637
1775800664,5163096113,19.058910104144697
1775800664,5163096110,19.13894614163083
1775800664,11936184529,740.5965027199577
1775800678,12584532193,23.101537464328246
1775800678,12584532192,53.43297170465955
1775800678,12584532223,73.81534854366467
1775800700,1775800947,385.79580196111976
1775800700,12584593286,854.8800199742419
1775800700,12584593256,725.6885519856337
1775800706,1775800782,226.48468147450615
1775800706,5163095679,638.1277997706881
1775800706,11936184534,501.0433604387785
1775800724,1775800813,261.23908872139765
1775800724,5163096110,763.8374323315803
1775800724,12522530051,1326.4433402066365
1775800753,11936192614,40.420054914789176
1775800753,11936192616,28.2760986465974
1775800753,11936192620,135.69571858921756
1775800782,1775800706,226.48468147450615
1775800813,11936184541,128.17235668618713
1775800813,1775800724,261.23908872139765
1775800813,11936184540,278.7618503380715
1775800856,12587128990,156.60977553985606
1775800856,245608377,866.8258634354255
1775800856,12584611947,691.5951266024415
1775800856,12587138807,425.35357499650917
1775800881,12525844244,429.39447132214724
1775800881,1775800918,1174.8214660230321
1775800881,12525844215,135.15764547229395
1775800903,12584532194,30.27645437766302
1775800903,12584532205,76.94627427380365
1775800903,12584532217,213.1586843624013
1775800918,1775800881,1174.8214660230321
1775800918,12584532223,631.3098070510371
1775800918,12525844134,764.1824612904275
1775800947,12584532192,103.04324283212156
